Case Number,Primary Type,Arrest,Latitude,Longitude,Date
JJ100041,ASSAULT,No,41.97547293,-87.83019539,01/01/2025 12:09:00 AM
JJ100015,CRIMINAL DAMAGE,No,41.86167006,-87.714063,01/01/2025 12:10:00 AM
JJ100425,CRIMINAL DAMAGE,No,41.76346204,-87.56646673,01/01/2025 12:10:00 AM
JJ100599,CRIMINAL DAMAGE,No,41.75255633,-87.60399588,01/01/2025 12:10:00 AM
JJ101327,CRIMINAL DAMAGE,No,41.79188562,-87.77447885,01/01/2025 12:12:00 AM
JJ100012,WEAPONS VIOLATION,No,41.96628949,-87.66107591,01/01/2025 12:14:00 AM
JJ100065,CRIMINAL DAMAGE,Yes,41.87560745,-87.63096339,01/01/2025 12:15:00 AM
JJ100023,CRIMINAL DAMAGE,No,41.77960537,-87.65481301,01/01/2025 12:15:00 AM
JJ100048,CRIMINAL DAMAGE,No,41.74256713,-87.66162284,01/01/2025 12:15:00 AM
JJ100282,CRIMINAL DAMAGE,No,41.7075614,-87.56208853,01/01/2025 12:15:00 AM
JJ100393,BATTERY,No,41.95663712,-87.70901208,01/01/2025 12:15:00 AM
JJ100461,CRIMINAL DAMAGE,No,41.77666291,-87.68221942,01/01/2025 12:15:00 AM
JJ101723,THEFT,No,41.99261065,-87.72017084,01/01/2025 12:18:00 AM
JJ102817,DECEPTIVE PRACTICE,No,41.77921949,-87.68639517,01/01/2025 12:18:00 AM
JJ100004,ASSAULT,No,41.76463209,-87.62831164,01/01/2025 12:22:00 AM
JJ100026,BATTERY,Yes,41.9072511,-87.72157613,01/01/2025 12:30:00 AM
JJ100050,BATTERY,Yes,41.94310859,-87.64936609,01/01/2025 12:30:00 AM
JJ100146,THEFT,No,41.80943109,-87.61347123,01/01/2025 12:30:00 AM
JJ100213,MOTOR VEHICLE THEFT,No,41.65903976,-87.60340525,01/01/2025 12:30:00 AM
JJ100325,DECEPTIVE PRACTICE,No,41.88899385,-87.62693483,01/01/2025 12:30:00 AM
JJ100454,THEFT,No,41.89367684,-87.63117681,01/01/2025 12:30:00 AM
JJ100585,THEFT,No,41.84887326,-87.71247974,01/01/2025 12:30:00 AM
JJ101101,CRIMINAL SEXUAL ASSAULT,No,41.67146174,-87.65510074,01/01/2025 12:30:00 AM
JJ101465,CRIMINAL DAMAGE,No,41.77404109,-87.6130789,01/01/2025 12:30:00 AM
JJ101466,BATTERY,No,41.82733779,-87.62812305,01/01/2025 12:30:00 AM
JJ126078,MOTOR VEHICLE THEFT,No,41.73642227,-87.60481597,01/01/2025 12:30:00 AM
JJ135331,NARCOTICS,Yes,41.85887977,-87.72341029,01/01/2025 12:31:00 AM
JJ100045,CRIMINAL DAMAGE,No,41.80505521,-87.7479782,01/01/2025 12:33:00 AM
JJ100042,BATTERY,No,41.92603539,-87.6495889,01/01/2025 12:35:00 AM
JJ100062,CRIMINAL DAMAGE,No,41.74384392,-87.55882196,01/01/2025 12:38:00 AM
JJ100049,CRIMINAL TRESPASS,Yes,41.94477839,-87.83575202,01/01/2025 12:39:00 AM
JJ100047,MOTOR VEHICLE THEFT,No,41.89452731,-87.71872618,01/01/2025 12:40:00 AM
JJ100423,CRIMINAL SEXUAL ASSAULT,No,41.88966882,-87.6295974,01/01/2025 12:45:00 AM
JJ100037,BATTERY,No,41.93807735,-87.76157523,01/01/2025 12:47:00 AM
JJ100056,BATTERY,No,41.86661375,-87.62413407,01/01/2025 12:47:00 AM
JJ100038,BATTERY,Yes,41.91405924,-87.65322545,01/01/2025 12:48:00 AM
JJ100046,BATTERY,Yes,41.92197387,-87.69732716,01/01/2025 12:50:00 AM
JJ100058,ARSON,No,41.70587093,-87.5596441,01/01/2025 12:50:00 AM
JJ100073,WEAPONS VIOLATION,Yes,41.80482933,-87.61134775,01/01/2025 12:52:00 AM
JJ100087,CRIMINAL TRESPASS,Yes,41.88573941,-87.63189539,01/01/2025 12:57:00 AM
JJ100043,BATTERY,Yes,41.90315848,-87.67908809,01/01/2025 12:59:00 AM
JJ100063,CRIMINAL DAMAGE,No,41.77429691,-87.67972844,01/01/2025 12:59:00 AM
JJ100053,OTHER OFFENSE,No,41.72774941,-87.66283228,01/01/2025 1:00:00 AM
JJ100114,ASSAULT,No,41.70199662,-87.53407903,01/01/2025 1:00:00 AM
JJ100141,BATTERY,No,41.72626411,-87.62878622,01/01/2025 1:00:00 AM
JJ100289,BATTERY,No,41.87418063,-87.66785807,01/01/2025 1:00:00 AM
JJ100309,MOTOR VEHICLE THEFT,No,41.99047455,-87.69381331,01/01/2025 1:00:00 AM
JJ100373,BATTERY,No,41.78506878,-87.61325982,01/01/2025 1:00:00 AM
JJ100394,THEFT,No,41.89235845,-87.63639192,01/01/2025 1:00:00 AM
JJ100506,THEFT,No,41.90392745,-87.62952901,01/01/2025 1:00:00 AM
JJ100581,CRIMINAL DAMAGE,No,41.73575252,-87.62542903,01/01/2025 1:00:00 AM
JJ100796,CRIMINAL DAMAGE,No,41.71123639,-87.60331314,01/01/2025 1:00:00 AM
JJ100853,CRIMINAL DAMAGE,No,41.70588521,-87.65998329,01/01/2025 1:00:00 AM
JJ100882,CRIMINAL DAMAGE,No,41.80066035,-87.64617758,01/01/2025 1:00:00 AM
JJ101280,THEFT,No,41.92964667,-87.75219859,01/01/2025 1:00:00 AM
JJ101389,DECEPTIVE PRACTICE,No,41.73680993,-87.59333256,01/01/2025 1:00:00 AM
JJ104215,BATTERY,No,41.86839639,-87.72280584,01/01/2025 1:00:00 AM
JJ106226,BATTERY,No,41.88077543,-87.62702903,01/01/2025 1:00:00 AM
JJ107035,CRIMINAL DAMAGE,No,41.88177682,-87.62076795,01/01/2025 1:00:00 AM
JJ111768,THEFT,No,41.96857937,-87.69296966,01/01/2025 1:00:00 AM
JJ114751,THEFT,No,41.72621915,-87.56729444,01/01/2025 1:00:00 AM
JJ100061,BATTERY,No,41.88899385,-87.62693483,01/01/2025 1:10:00 AM
JJ100071,BATTERY,No,41.79176316,-87.65724073,01/01/2025 1:10:00 AM
JJ100312,CRIMINAL DAMAGE,No,41.89250768,-87.62623869,01/01/2025 1:10:00 AM
JJ100105,BATTERY,No,41.90001777,-87.62342663,01/01/2025 1:14:00 AM
JJ100084,BATTERY,No,41.89389317,-87.61512764,01/01/2025 1:15:00 AM
JJ102313,DECEPTIVE PRACTICE,No,41.91116227,-87.63374061,01/01/2025 1:15:00 AM
JJ101056,WEAPONS VIOLATION,No,41.99727953,-87.66858573,01/01/2025 1:20:00 AM
JJ100130,WEAPONS VIOLATION,Yes,41.75893364,-87.63846057,01/01/2025 1:25:00 AM
JJ100077,CRIMINAL DAMAGE,No,41.89602851,-87.72856646,01/01/2025 1:25:00 AM
JJ100093,CRIMINAL DAMAGE,No,41.90257165,-87.73239116,01/01/2025 1:29:00 AM
JJ100482,BATTERY,No,41.72626411,-87.62878622,01/01/2025 1:30:00 AM
JJ100559,BURGLARY,No,41.7930828,-87.66091965,01/01/2025 1:30:00 AM
JJ100816,MOTOR VEHICLE THEFT,No,41.79951586,-87.59144897,01/01/2025 1:30:00 AM
JJ100974,BURGLARY,No,41.96529322,-87.68636929,01/01/2025 1:30:00 AM
JJ100090,DECEPTIVE PRACTICE,No,41.94722765,-87.65538001,01/01/2025 1:34:00 AM
JJ100091,THEFT,No,41.77298642,-87.70054615,01/01/2025 1:34:00 AM
JJ100082,WEAPONS VIOLATION,No,41.76919487,-87.62280704,01/01/2025 1:38:00 AM
JJ100083,BATTERY,Yes,41.97577311,-87.7051035,01/01/2025 1:39:00 AM
JJ100135,CRIMINAL TRESPASS,No,41.75676985,-87.60458956,01/01/2025 1:39:00 AM
JJ100076,BATTERY,No,41.70995697,-87.65378432,01/01/2025 1:40:00 AM
JJ100108,ROBBERY,No,41.82733779,-87.62812305,01/01/2025 1:40:00 AM
JJ102842,THEFT,No,41.79676478,-87.75557902,01/01/2025 1:40:00 AM
JJ100098,BATTERY,No,41.75050077,-87.61006222,01/01/2025 1:42:00 AM
JJ100218,BATTERY,No,41.82992921,-87.72419888,01/01/2025 1:44:00 AM
JJ100110,WEAPONS VIOLATION,Yes,41.75907465,-87.64182002,01/01/2025 1:45:00 AM
JJ100103,WEAPONS VIOLATION,Yes,41.8389821,-87.64629986,01/01/2025 1:46:00 AM
JJ100099,WEAPONS VIOLATION,Yes,41.86571398,-87.7251516,01/01/2025 1:48:00 AM
JJ100134,INTERFERENCE WITH PUBLIC OFFICER,Yes,41.73062855,-87.58678346,01/01/2025 1:49:00 AM
JJ100127,ASSAULT,No,41.76650508,-87.68394966,01/01/2025 1:55:00 AM
JJ100120,BATTERY,Yes,41.93984892,-87.65825156,01/01/2025 1:56:00 AM
JJ100170,INTERFERENCE WITH PUBLIC OFFICER,Yes,41.70406407,-87.64031875,01/01/2025 1:56:00 AM
JJ100112,CRIMINAL DAMAGE,No,41.84960413,-87.65862868,01/01/2025 1:58:00 AM
JJ100119,BATTERY,No,41.97929768,-87.83760914,01/01/2025 1:58:00 AM
JJ100129,ASSAULT,No,41.77825138,-87.69336716,01/01/2025 1:58:00 AM
JJ100132,BATTERY,Yes,41.93567038,-87.75657997,01/01/2025 2:00:00 AM
JJ100717,CRIMINAL DAMAGE,Yes,41.76650758,-87.68390565,01/01/2025 2:00:00 AM
JJ100121,BATTERY,No,41.8473873,-87.70266893,01/01/2025 2:00:00 AM
JJ100122,THEFT,No,41.77952281,-87.60415969,01/01/2025 2:00:00 AM
JJ100158,BATTERY,No,41.85681962,-87.66205108,01/01/2025 2:00:00 AM
JJ100167,BATTERY,No,41.70191523,-87.65782755,01/01/2025 2:00:00 AM
JJ100296,THEFT,No,41.85217684,-87.62378704,01/01/2025 2:00:00 AM
JJ100348,CRIMINAL TRESPASS,No,41.7740969,-87.59849114,01/01/2025 2:00:00 AM
JJ100407,THEFT,No,41.9255639,-87.64188443,01/01/2025 2:00:00 AM
JJ100492,CRIMINAL DAMAGE,No,41.66467068,-87.5564448,01/01/2025 2:00:00 AM
JJ100676,THEFT,No,41.75490692,-87.56629371,01/01/2025 2:00:00 AM
JJ100684,THEFT,No,41.76525377,-87.61525555,01/01/2025 2:00:00 AM
JJ100801,THEFT,No,41.93936013,-87.72964945,01/01/2025 2:00:00 AM
JJ101540,CRIMINAL DAMAGE,No,41.73590874,-87.65496537,01/01/2025 2:00:00 AM
JJ101892,THEFT,No,41.85796944,-87.65550499,01/01/2025 2:00:00 AM
JJ101911,MOTOR VEHICLE THEFT,No,41.76471047,-87.64439866,01/01/2025 2:00:00 AM
JJ103304,MOTOR VEHICLE THEFT,No,41.8799765,-87.64964316,01/01/2025 2:00:00 AM
JJ103800,THEFT,No,41.928954,-87.65678992,01/01/2025 2:00:00 AM
JJ110254,OTHER OFFENSE,No,41.87580011,-87.75129502,01/01/2025 2:00:00 AM
JJ113813,THEFT,No,41.88510542,-87.64687092,01/01/2025 2:00:00 AM
JJ100106,BATTERY,No,41.6723308,-87.64342273,01/01/2025 2:03:00 AM
JJ100855,ASSAULT,No,41.76309129,-87.62810858,01/01/2025 2:05:00 AM
JJ100136,WEAPONS VIOLATION,Yes,41.88062474,-87.73426399,01/01/2025 2:06:00 AM
JJ100113,BATTERY,Yes,42.00713784,-87.66500976,01/01/2025 2:08:00 AM
JJ100259,CRIMINAL TRESPASS,No,41.74520728,-87.60749427,01/01/2025 2:09:00 AM
JJ100111,BATTERY,No,42.00562954,-87.68189147,01/01/2025 2:10:00 AM
JJ100139,CRIMINAL DAMAGE,No,41.88799541,-87.62567146,01/01/2025 2:13:00 AM
JJ103278,LIQUOR LAW VIOLATION,Yes,41.90333491,-87.66823867,01/01/2025 2:15:00 AM
JJ100118,BATTERY,No,41.94634109,-87.65627896,01/01/2025 2:16:00 AM
JJ100149,BATTERY,No,41.74040505,-87.55512956,01/01/2025 2:20:00 AM
JJ100144,BATTERY,No,41.84431165,-87.72002175,01/01/2025 2:22:00 AM
JJ100172,BATTERY,No,41.88975195,-87.63107289,01/01/2025 2:25:00 AM
JJ100142,ASSAULT,No,41.87274383,-87.7091242,01/01/2025 2:28:00 AM
JJ100177,BATTERY,No,41.84162225,-87.72933961,01/01/2025 2:30:00 AM
JJ100186,BATTERY,No,41.80883344,-87.62282402,01/01/2025 2:30:00 AM
JJ100191,BATTERY,No,41.878639,-87.62769149,01/01/2025 2:30:00 AM
JJ100536,CRIMINAL DAMAGE,No,41.68749727,-87.65935863,01/01/2025 2:30:00 AM
JJ100769,BATTERY,No,41.75932713,-87.58615404,01/01/2025 2:30:00 AM
JJ101845,THEFT,No,41.96754516,-87.69254244,01/01/2025 2:30:00 AM
JJ102386,CRIMINAL DAMAGE,No,41.87002813,-87.70882386,01/01/2025 2:30:00 AM
JJ106681,THEFT,No,41.77430363,-87.59606186,01/01/2025 2:30:00 AM
JJ100180,WEAPONS VIOLATION,Yes,41.82636737,-87.66785448,01/01/2025 2:31:00 AM
JJ100148,BATTERY,No,41.88376011,-87.74784426,01/01/2025 2:32:00 AM
JJ100143,CRIMINAL DAMAGE,No,41.89251713,-87.74572221,01/01/2025 2:35:00 AM
JJ100165,BATTERY,No,41.87381579,-87.73522715,01/01/2025 2:35:00 AM
JJ103911,DECEPTIVE PRACTICE,No,41.97428302,-87.76680823,01/01/2025 2:35:00 AM
JJ100151,BATTERY,No,41.70456882,-87.61613261,01/01/2025 2:40:00 AM
JJ100184,ASSAULT,Yes,41.75041167,-87.62929549,01/01/2025 2:43:00 AM
JJ100152,CRIMINAL DAMAGE,No,41.87088517,-87.72534491,01/01/2025 2:45:00 AM
JJ100161,BATTERY,No,41.83756839,-87.647148,01/01/2025 2:47:00 AM
JJ100154,BATTERY,Yes,41.90311305,-87.64319935,01/01/2025 2:48:00 AM
JJ100168,CRIMINAL DAMAGE,No,41.80939682,-87.69791009,01/01/2025 2:50:00 AM
JJ100190,ASSAULT,No,41.89272469,-87.71013438,01/01/2025 2:50:00 AM
JJ100253,ROBBERY,No,41.88953942,-87.63402067,01/01/2025 2:50:00 AM
JJ100508,BATTERY,No,41.8490592,-87.6390276,01/01/2025 2:50:00 AM
JJ100182,ROBBERY,No,41.7567074,-87.56632725,01/01/2025 2:52:00 AM
JJ100173,ASSAULT,No,41.83779734,-87.71705281,01/01/2025 2:58:00 AM
JJ100216,ASSAULT,No,41.85382889,-87.6206855,01/01/2025 2:58:00 AM
JJ100226,BATTERY,Yes,41.70366384,-87.56445317,01/01/2025 2:59:00 AM
JJ100322,THEFT,Yes,41.65495537,-87.54590945,01/01/2025 3:00:00 AM
JJ100261,ROBBERY,No,41.88970957,-87.63402248,01/01/2025 3:00:00 AM
JJ100278,CRIMINAL DAMAGE,No,41.88570208,-87.64203164,01/01/2025 3:00:00 AM
JJ100286,BATTERY,No,41.87879673,-87.73157478,01/01/2025 3:00:00 AM
JJ100298,BATTERY,No,41.89680414,-87.74958737,01/01/2025 3:00:00 AM
JJ100318,CRIMINAL DAMAGE,No,41.75756787,-87.60536486,01/01/2025 3:00:00 AM
JJ100345,MOTOR VEHICLE THEFT,No,41.90307749,-87.68367333,01/01/2025 3:00:00 AM
JJ100362,BATTERY,No,41.86409811,-87.71394779,01/01/2025 3:00:00 AM
JJ100428,ASSAULT,No,41.81046107,-87.62286839,01/01/2025 3:00:00 AM
JJ100539,BATTERY,No,41.94851566,-87.77537733,01/01/2025 3:00:00 AM
JJ100564,CRIMINAL DAMAGE,No,41.8725881,-87.72149188,01/01/2025 3:00:00 AM
JJ100649,WEAPONS VIOLATION,No,41.81424687,-87.62621609,01/01/2025 3:00:00 AM
JJ100915,CRIMINAL SEXUAL ASSAULT,No,41.83778586,-87.71339058,01/01/2025 3:00:00 AM
JJ101048,BATTERY,No,41.77284303,-87.69200952,01/01/2025 3:00:00 AM
JJ100164,BATTERY,No,41.81240811,-87.6098944,01/01/2025 3:05:00 AM
JJ100174,BATTERY,No,41.77339263,-87.67133515,01/01/2025 3:05:00 AM
JJ100166,WEAPONS VIOLATION,Yes,41.8803841,-87.75422417,01/01/2025 3:07:00 AM
JJ100204,BATTERY,Yes,41.91743265,-87.75339331,01/01/2025 3:07:00 AM
JJ100175,BATTERY,No,41.76683601,-87.61286992,01/01/2025 3:10:00 AM
JJ100189,CRIMINAL DAMAGE,No,41.97077798,-87.69256887,01/01/2025 3:13:00 AM
JJ100192,DECEPTIVE PRACTICE,No,41.93984892,-87.65825156,01/01/2025 3:15:00 AM
JJ100239,BATTERY,Yes,41.88797062,-87.62166132,01/01/2025 3:19:00 AM
JJ100198,BATTERY,No,41.75779827,-87.5542964,01/01/2025 3:23:00 AM
JJ100199,BATTERY,No,41.76124541,-87.63456507,01/01/2025 3:26:00 AM
JJ100903,ASSAULT,No,41.73129101,-87.64956985,01/01/2025 3:26:00 AM
JJ100225,BATTERY,Yes,41.93810933,-87.71735594,01/01/2025 3:28:00 AM
JJ100207,BATTERY,Yes,41.99982867,-87.70459101,01/01/2025 3:30:00 AM
JJ100202,WEAPONS VIOLATION,No,41.81576575,-87.61976866,01/01/2025 3:30:00 AM
JJ100210,BATTERY,No,41.88996138,-87.75419643,01/01/2025 3:30:00 AM
JJ100212,BATTERY,No,41.85428052,-87.71369382,01/01/2025 3:30:00 AM
JJ100222,CRIMINAL DAMAGE,No,41.98726152,-87.70632576,01/01/2025 3:30:00 AM
JJ100238,BATTERY,No,41.7690705,-87.62666845,01/01/2025 3:30:00 AM
JJ100270,BATTERY,No,41.87385839,-87.68931536,01/01/2025 3:30:00 AM
JJ100295,BATTERY,No,41.84960413,-87.65862868,01/01/2025 3:30:00 AM
JJ100466,MOTOR VEHICLE THEFT,No,41.72626411,-87.62878622,01/01/2025 3:30:00 AM
JJ100478,MOTOR VEHICLE THEFT,No,41.70200481,-87.52817591,01/01/2025 3:30:00 AM
JJ104166,DECEPTIVE PRACTICE,No,41.88899385,-87.62693483,01/01/2025 3:30:00 AM
JJ100208,BATTERY,No,41.7956522,-87.77703156,01/01/2025 3:34:00 AM
JJ112876,ASSAULT,No,41.97576318,-87.70680264,01/01/2025 3:40:00 AM
JJ100219,ROBBERY,No,41.8793921,-87.63326471,01/01/2025 3:41:00 AM
JJ100223,BATTERY,No,41.81119222,-87.69062573,01/01/2025 3:50:00 AM
JJ100220,BATTERY,No,41.69030028,-87.61820962,01/01/2025 3:52:00 AM
JJ100236,CONCEALED CARRY LICENSE VIOLATION,Yes,41.92417749,-87.70230276,01/01/2025 3:55:00 AM
JJ100235,BATTERY,Yes,41.90449588,-87.62869623,01/01/2025 3:57:00 AM
JJ100205,HOMICIDE,No,41.72243452,-87.6321688,01/01/2025 3:57:00 AM
JJ100250,BATTERY,No,41.72748787,-87.56208836,01/01/2025 4:00:00 AM
JJ100479,ROBBERY,No,41.87751796,-87.68909134,01/01/2025 4:00:00 AM
JJ100849,CRIMINAL DAMAGE,No,41.80936113,-87.69790678,01/01/2025 4:00:00 AM
JJ100892,ROBBERY,No,41.73645017,-87.54581608,01/01/2025 4:00:00 AM
JJ100967,MOTOR VEHICLE THEFT,No,41.93073942,-87.75885144,01/01/2025 4:00:00 AM
JJ103295,BATTERY,No,41.85444925,-87.71241481,01/01/2025 4:00:00 AM
JJ106662,THEFT,No,41.75011688,-87.55105077,01/01/2025 4:00:00 AM
JJ100257,CRIMINAL DAMAGE,No,41.6947464,-87.5364902,01/01/2025 4:04:00 AM
JJ100229,ROBBERY,No,41.76624848,-87.5757148,01/01/2025 4:05:00 AM
JJ100252,BATTERY,No,41.76621616,-87.64929444,01/01/2025 4:08:00 AM
JJ100264,BATTERY,No,41.87571153,-87.7582246,01/01/2025 4:08:00 AM
JJ100246,ASSAULT,Yes,41.92598078,-87.75499525,01/01/2025 4:09:00 AM
JJ100453,WEAPONS VIOLATION,No,41.78477875,-87.62220967,01/01/2025 4:15:00 AM
JJ100463,CRIMINAL DAMAGE,No,41.94396021,-87.7748032,01/01/2025 4:18:00 AM
JJ100243,BATTERY,No,41.76818635,-87.67605512,01/01/2025 4:20:00 AM
JJ100260,BATTERY,No,41.86693762,-87.6241415,01/01/2025 4:25:00 AM
JJ100241,BATTERY,No,41.88138532,-87.75631928,01/01/2025 4:30:00 AM
JJ100272,BATTERY,No,41.7921955,-87.60495851,01/01/2025 4:30:00 AM
JJ100313,BATTERY,No,41.77353667,-87.62999581,01/01/2025 4:30:00 AM
JJ100375,MOTOR VEHICLE THEFT,No,41.74974302,-87.65129435,01/01/2025 4:30:00 AM
JJ100918,ASSAULT,No,41.82563076,-87.68541449,01/01/2025 4:30:00 AM
JJ100986,CRIMINAL DAMAGE,No,41.73784462,-87.64684029,01/01/2025 4:30:00 AM
JJ101028,DECEPTIVE PRACTICE,No,41.89001352,-87.631665,01/01/2025 4:30:00 AM
JJ101317,BATTERY,No,41.77068303,-87.57153123,01/01/2025 4:30:00 AM
JJ100265,CRIMINAL DAMAGE,No,41.80939682,-87.69791009,01/01/2025 4:31:00 AM
JJ100310,BATTERY,No,41.86970721,-87.63049562,01/01/2025 4:36:00 AM
JJ100242,ROBBERY,No,41.74949344,-87.60179879,01/01/2025 4:37:00 AM
JJ101074,CRIMINAL SEXUAL ASSAULT,No,41.808584,-87.66588177,01/01/2025 4:40:00 AM
JJ100276,BATTERY,No,41.8936834,-87.76535039,01/01/2025 4:46:00 AM
JJ100266,ASSAULT,No,41.95556339,-87.72110329,01/01/2025 4:50:00 AM
JJ101082,ASSAULT,No,41.94810164,-87.65793291,01/01/2025 4:54:00 AM
JJ100476,BATTERY,No,41.878639,-87.62769149,01/01/2025 4:58:00 AM
JJ100414,BATTERY,Yes,41.9094787,-87.75752484,01/01/2025 5:00:00 AM
